"resp.id","utility","rating","speed","height","const","theme"
1,-1.2838377894935,-2,"40","300","Steel","Dragon"
1,-2.81549651930484,-3,"50","200","Wood","Dragon"
1,-0.488623582537359,-1,"50","300","Wood","Dragon"
1,0.213371135407816,0,"60","300","Wood","Eagle"
1,-1.01183649693468,-2,"60","400","Wood","Eagle"
1,-2.8644887694885,-3,"50","400","Steel","Eagle"
1,-2.38992415890073,-3,"50","400","Steel","Dragon"
1,-3.61071072626098,-4,"40","200","Steel","Dragon"
1,-3.29006112989261,-4,"50","200","Wood","Eagle"
1,-2.11350180135967,-3,"60","200","Wood","Eagle"
1,1.68228914260916,1,"70","300","Wood","Eagle"
1,-1.16471652655823,-2,"50","300","Steel","Dragon"
1,0.0118428019747175,0,"60","300","Steel","Dragon"
1,-3.61071072626098,-4,"40","200","Steel","Dragon"
1,-3.40918239282788,-4,"40","200","Wood","Eagle"
1,-0.644583794158317,-1,"70","200","Wood","Eagle"
2,-1.17491516547905,-2,"40","300","Steel","Dragon"
2,-2.33300275458635,-3,"50","200","Wood","Dragon"
2,-1.27490595737197,-2,"50","300","Wood","Dragon"
2,-0.447739163755483,-1,"60","300","Wood","Eagle"
2,-0.864949074935178,-1,"60","400","Wood","Eagle"
2,-1.06493781201982,-2,"50","400","Steel","Eagle"
2,-1.14934110780541,-2,"50","400","Steel","Dragon"
2,-2.23301196269343,-3,"40","200","Steel","Dragon"
2,-2.24859945880077,-3,"50","200","Wood","Eagle"
2,-1.50583596096987,-2,"60","200","Wood","Eagle"
2,1.46670374278531,1,"70","300","Wood","Eagle"
2,-0.73213119662571,-1,"50","300","Steel","Dragon"
2,0.0106323012051912,0,"60","300","Steel","Dragon"
2,-2.23301196269343,-3,"40","200","Steel","Dragon"
2,-2.69138342765411,-3,"40","200","Wood","Eagle"
2,0.408606945570928,0,"70","200","Wood","Eagle"
3,-1.78457015854825,-2,"40","300","Steel","Dragon"
3,-3.88376414992434,-4,"50","200","Wood","Dragon"
3,-1.1218495700306,-2,"50","300","Wood","Dragon"
3,-1.36564249810988,-2,"60","300","Wood","Eagle"
3,-3.5598834533299,-4,"60","400","Wood","Eagle"
3,-4.92664131499093,-5,"50","400","Steel","Eagle"
3,-3.58380732733419,-4,"50","400","Steel","Dragon"
3,-4.54648473844198,-5,"40","200","Steel","Dragon"
3,-5.22659813758108,-6,"50","200","Wood","Eagle"
3,-4.12755707800362,-5,"60","200","Wood","Eagle"
3,-0.470912405652105,-1,"70","300","Wood","Eagle"
3,-1.38956637211417,-2,"50","300","Steel","Dragon"
3,-0.290525312536706,-1,"60","300","Steel","Dragon"
3,-4.54648473844198,-5,"40","200","Steel","Dragon"
3,-5.62160192401516,-6,"40","200","Wood","Eagle"
3,-3.23282698554584,-4,"70","200","Wood","Eagle"
4,-2.34160509033512,-3,"40","300","Steel","Dragon"
4,-4.21266152990886,-5,"50","200","Wood","Dragon"
4,-2.22700370408586,-3,"50","300","Wood","Dragon"
4,-3.16171348263742,-4,"60","300","Wood","Eagle"
4,-4.59949782540362,-5,"60","400","Wood","Eagle"
4,-3.64334902974071,-4,"50","400","Steel","Eagle"
4,-2.81567939709985,-3,"50","400","Steel","Dragon"
4,-4.32726291615812,-5,"40","200","Steel","Dragon"
4,-5.04033116254973,-6,"50","200","Wood","Eagle"
4,-5.14737130846042,-6,"60","200","Wood","Eagle"
4,-0.754576397769379,-1,"70","300","Wood","Eagle"
4,-1.37789505433365,-2,"50","300","Steel","Dragon"
4,-1.48493520024434,-2,"60","300","Steel","Dragon"
4,-4.32726291615812,-5,"40","200","Steel","Dragon"
4,-6.0040411985512,-7,"40","200","Wood","Eagle"
4,-2.74023422359238,-3,"70","200","Wood","Eagle"
5,-1.52071102681595,-2,"40","300","Steel","Dragon"
5,-2.22510203579968,-3,"50","200","Wood","Dragon"
5,0.213771469133833,0,"50","300","Wood","Dragon"
5,-0.558993545295803,-1,"60","300","Wood","Eagle"
5,-1.75088519411954,-2,"60","400","Wood","Eagle"
5,-2.76120658233187,-3,"50","400","Steel","Eagle"
5,-1.89858770421024,-2,"50","400","Steel","Dragon"
5,-3.95958453174947,-4,"40","200","Steel","Dragon"
5,-3.08772091392131,-4,"50","200","Wood","Eagle"
5,-2.99786705022932,-3,"60","200","Wood","Eagle"
5,1.44786838443823,1,"70","300","Wood","Eagle"
5,-0.706696055386505,-1,"50","300","Steel","Dragon"
5,-0.616842191694514,-1,"60","300","Steel","Dragon"
5,-3.95958453174947,-4,"40","200","Steel","Dragon"
5,-3.90173588535076,-4,"40","200","Wood","Eagle"
5,-0.991005120495293,-1,"70","200","Wood","Eagle"
6,1.54661056492794,1,"40","300","Steel","Dragon"
6,-1.04622462363781,-2,"50","200","Wood","Dragon"
6,1.26558860539281,1,"50","300","Wood","Dragon"
6,3.10348418957114,3,"60","300","Wood","Eagle"
6,1.63234429448756,1,"60","400","Wood","Eagle"
6,1.01146884576488,1,"50","400","Steel","Eagle"
6,0.304393191125823,0,"50","400","Steel","Dragon"
6,-0.765202664102679,-1,"40","200","Steel","Dragon"
6,-0.339148968998752,-1,"50","200","Wood","Eagle"
6,0.791670960540521,0,"60","200","Wood","Eagle"
6,4.67167840589721,4,"70","300","Wood","Eagle"
6,1.77553308620941,1,"50","300","Steel","Dragon"
6,2.90635301574868,2,"60","300","Steel","Dragon"
6,-0.765202664102679,-1,"40","200","Steel","Dragon"
6,-0.568071490280218,-1,"40","200","Wood","Eagle"
6,2.35986517686659,2,"70","200","Wood","Eagle"
7,0.0557439284949123,0,"40","300","Steel","Dragon"
7,-2.59455605587939,-3,"50","200","Wood","Dragon"
7,-0.0751189378062124,-1,"50","300","Wood","Dragon"
7,-0.374493414168636,-1,"60","300","Wood","Eagle"
7,-0.698250310414359,-1,"60","400","Wood","Eagle"
7,-0.434265799713757,-1,"50","400","Steel","Eagle"
7,0.185262277192811,0,"50","400","Steel","Dragon"
7,-2.46369318957827,-3,"40","200","Steel","Dragon"
7,-3.21408413278596,-4,"50","200","Wood","Eagle"
7,-2.89393053224181,-3,"60","200","Wood","Eagle"
7,1.63860651800753,1,"70","300","Wood","Eagle"
7,0.509019173438534,0,"50","300","Steel","Dragon"
7,0.829172773982678,0,"60","300","Steel","Dragon"
7,-2.46369318957827,-3,"40","200","Steel","Dragon"
7,-3.66735937772958,-4,"40","200","Wood","Eagle"
7,-0.880830600065645,-1,"70","200","Wood","Eagle"
8,-0.362611842174009,-1,"40","300","Steel","Dragon"
8,-1.37495830530062,-2,"50","200","Wood","Dragon"
8,1.19732965960391,1,"50","300","Wood","Dragon"
8,-0.297241459417024,-1,"60","300","Wood","Eagle"
8,-1.4332747409404,-2,"60","400","Wood","Eagle"
8,-2.0997172661871,-3,"50","400","Steel","Eagle"
8,-0.663882251266124,-1,"50","400","Steel","Dragon"
8,-2.93489980707854,-3,"40","200","Steel","Dragon"
8,-2.81079332022159,-3,"50","200","Wood","Eagle"
8,-2.86952942432156,-3,"60","200","Wood","Eagle"
