"resp.id","rating","price","color","zipper","finish"
1,3,"17","gray","silver","patent"
1,10,"15","navy","silver","matte"
1,9,"15","black","gold","patent"
1,6,"19","navy","gold","matte"
1,2,"19","navy","silver","patent"
1,6,"15","gray","silver","patent"
1,10,"15","black","silver","matte"
1,5,"17","navy","silver","patent"
1,2,"19","navy","silver","patent"
1,7,"17","navy","gold","patent"
1,9,"20","gray","silver","matte"
1,4,"17","gray","silver","patent"
1,10,"20","gray","silver","matte"
1,10,"20","black","silver","patent"
1,6,"20","navy","gold","matte"
2,6,"17","gray","silver","patent"
2,6,"15","navy","silver","matte"
2,5,"15","black","gold","patent"
2,3,"19","navy","gold","matte"
2,4,"19","navy","silver","patent"
2,7,"15","gray","silver","patent"
2,10,"15","black","silver","matte"
2,4,"17","navy","silver","patent"
2,2,"19","navy","silver","patent"
2,2,"17","navy","gold","patent"
2,10,"20","gray","silver","matte"
2,5,"17","gray","silver","patent"
2,8,"20","gray","silver","matte"
2,10,"20","black","silver","patent"
2,6,"20","navy","gold","matte"
3,3,"17","gray","silver","patent"
3,8,"15","navy","silver","matte"
3,9,"15","black","gold","patent"
3,3,"19","navy","gold","matte"
3,2,"19","navy","silver","patent"
3,5,"15","gray","silver","patent"
3,10,"15","black","silver","matte"
3,6,"17","navy","silver","patent"
3,2,"19","navy","silver","patent"
3,4,"17","navy","gold","patent"
3,8,"20","gray","silver","matte"
3,4,"17","gray","silver","patent"
3,8,"20","gray","silver","matte"
3,8,"20","black","silver","patent"
3,6,"20","navy","gold","matte"
4,2,"17","gray","silver","patent"
4,10,"15","navy","silver","matte"
4,7,"15","black","gold","patent"
4,2,"19","navy","gold","matte"
4,2,"19","navy","silver","patent"
4,8,"15","gray","silver","patent"
4,10,"15","black","silver","matte"
4,4,"17","navy","silver","patent"
4,3,"19","navy","silver","patent"
4,4,"17","navy","gold","patent"
4,7,"20","gray","silver","matte"
4,7,"17","gray","silver","patent"
4,7,"20","gray","silver","matte"
4,8,"20","black","silver","patent"
4,8,"20","navy","gold","matte"
5,7,"17","gray","silver","patent"
5,6,"15","navy","silver","matte"
5,10,"15","black","gold","patent"
5,7,"19","navy","gold","matte"
5,5,"19","navy","silver","patent"
5,6,"15","gray","silver","patent"
5,8,"15","black","silver","matte"
5,6,"17","navy","silver","patent"
5,3,"19","navy","silver","patent"
5,10,"17","navy","gold","patent"
5,2,"20","gray","silver","matte"
5,5,"17","gray","silver","patent"
5,5,"20","gray","silver","matte"
5,6,"20","black","silver","patent"
5,7,"20","navy","gold","matte"
6,3,"17","gray","silver","patent"
6,7,"15","navy","silver","matte"
6,10,"15","black","gold","patent"
6,4,"19","navy","gold","matte"
6,4,"19","navy","silver","patent"
6,6,"15","gray","silver","patent"
6,10,"15","black","silver","matte"
6,3,"17","navy","silver","patent"
6,2,"19","navy","silver","patent"
6,6,"17","navy","gold","patent"
6,10,"20","gray","silver","matte"
6,5,"17","gray","silver","patent"
6,9,"20","gray","silver","matte"
6,9,"20","black","silver","patent"
6,9,"20","navy","gold","matte"
7,7,"17","gray","silver","patent"
7,6,"15","navy","silver","matte"
7,10,"15","black","gold","patent"
7,6,"19","navy","gold","matte"
7,2,"19","navy","silver","patent"
7,6,"15","gray","silver","patent"
7,10,"15","black","silver","matte"
7,3,"17","navy","silver","patent"
7,2,"19","navy","silver","patent"
7,6,"17","navy","gold","patent"
7,8,"20","gray","silver","matte"
7,5,"17","gray","silver","patent"
7,9,"20","gray","silver","matte"
7,10,"20","black","silver","patent"
7,8,"20","navy","gold","matte"
8,2,"17","gray","silver","patent"
8,7,"15","navy","silver","matte"
8,9,"15","black","gold","patent"
8,2,"19","navy","gold","matte"
8,2,"19","navy","silver","patent"
8,4,"15","gray","silver","patent"
8,10,"15","black","silver","matte"
8,4,"17","navy","silver","patent"
8,2,"19","navy","silver","patent"
8,7,"17","navy","gold","patent"
8,10,"20","gray","silver","matte"
8,6,"17","gray","silver","patent"
8,10,"20","gray","silver","matte"
8,10,"20","black","silver","patent"
8,8,"20","navy","gold","matte"
9,3,"17","gray","silver","patent"
9,10,"15","navy","silver","matte"
9,8,"15","black","gold","patent"
9,8,"19","navy","gold","matte"
9,2,"19","navy","silver","patent"
9,6,"15","gray","silver","patent"
9,7,"15","black","silver","matte"
9,9,"17","navy","silver","patent"
9,5,"19","navy","silver","patent"
9,7,"17","navy","gold","patent"
9,4,"20","gray","silver","matte"
9,3,"17","gray","silver","patent"
9,7,"20","gray","silver","matte"
9,4,"20","black","silver","patent"
9,10,"20","navy","gold","matte"
10,8,"17","gray","silver","patent"
10,5,"15","navy","silver","matte"
10,5,"15","black","gold","patent"
10,5,"19","navy","gold","matte"
10,2,"19","navy","silver","patent"
10,6,"15","gray","silver","patent"
10,10,"15","black","silver","matte"
10,2,"17","navy","silver","patent"
10,3,"19","navy","silver","patent"
10,4,"17","navy","gold","patent"
10,10,"20","gray","silver","matte"
10,7,"17","gray","silver","patent"
