"satCleanRoom","satCleanBath","satCleanCommon","satFrontStaff","satDiningStaff","satHouseStaff","satValetStaff","satPerks","satRoomPrice","satDiningPrice","satWifiPrice","satParkingPrice","satCity","satCloseTransp","satCloseEvents","satPoints","satRecognition","satOverall","distanceTraveled","nightsStayed","visitPurpose","avgRoomSpendPerNight","avgFoodSpendPerNight","avgWifiSpendPerNight","eliteStatus"
6,4,2,2,2,4,4,3,3,4,3,5,3,4,3,4,3,5,790,1,"SportsEvent",129,5,7.95,"Silver"
4,6,5,5,5,4,5,6,4,5,5,6,4,5,3,4,5,4,36,7,"Concert",139,5.38,8.97857142857143,"Gold"
5,4,4,5,5,6,5,4,4,4,5,4,4,6,6,4,4,5,146,3,"Business",152.333333333333,0,6.95,"Platinum"
4,4,4,3,3,4,4,3,4,3,4,3,2,4,4,2,2,5,1768,1,"SportsEvent",149,75.09,5,"NoStatus"
2,4,2,4,5,4,4,4,3,5,3,4,4,4,5,3,3,4,281,3,"OtherOrMixed",169,36.99,6.95,"Silver"
5,3,4,4,4,3,2,4,4,5,6,5,4,5,3,3,4,4,885,2,"Conference",159,10,8.975,"Gold"
1,4,2,4,3,5,3,3,3,4,3,4,4,1,5,3,1,4,352,4,"SportsEvent",154,10.16,4.475,"NoStatus"
2,3,3,2,3,5,3,3,6,3,4,3,3,2,3,2,2,1,680,4,"SportsEvent",164,24.74,9.475,"NoStatus"
2,4,3,2,2,3,2,5,3,3,3,4,4,5,6,5,5,3,1198,6,"Business",160.666666666667,18.14,4.64166666666667,"Silver"
1,2,5,3,3,3,3,3,1,4,3,3,5,5,4,4,4,1,64,2,"Concert",149,10,4.975,"NoStatus"
3,4,3,2,3,4,5,3,2,3,4,3,4,2,4,3,5,2,425,6,"Concert",155.666666666667,11.09,7.125,"Silver"
5,4,4,6,5,6,4,5,3,4,5,6,5,5,5,6,5,6,478,6,"Business",139,37.07,4.64166666666667,"Silver"
2,3,3,3,3,5,4,4,3,5,3,3,2,4,3,5,4,4,243,3,"Conference",139,15,4.3,"Silver"
4,5,3,4,4,4,5,5,5,4,4,4,4,6,4,3,4,5,766,6,"Vacation",152.333333333333,5.45,5.3,"NoStatus"
3,5,5,4,4,4,4,4,4,5,4,5,4,4,3,4,4,4,216,4,"Business",154,10,11.2125,"Silver"
4,4,5,5,5,4,3,5,4,3,4,5,4,6,6,5,5,5,1557,4,"Conference",146.5,12.36,4.975,"Gold"
4,4,5,2,3,5,5,3,4,2,4,3,3,1,5,4,3,2,783,2,"Conference",159,5,9.975,"Silver"
6,5,4,4,4,6,4,3,2,3,3,4,5,3,5,3,3,3,589,2,"Concert",139,30.2,4.975,"NoStatus"
4,4,5,4,4,3,4,4,5,5,3,4,5,4,5,4,5,3,304,2,"Conference",139,33.38,8.975,"Silver"
3,5,3,5,6,5,6,4,3,2,3,3,3,4,5,3,3,2,368,3,"SportsEvent",159,54.04,5.3,"Silver"
5,4,3,4,3,4,3,6,3,5,4,3,5,5,4,4,3,5,701,3,"Business",155.666666666667,23.68,8.61666666666667,"NoStatus"
4,5,5,5,4,6,5,4,4,2,5,4,4,2,4,4,5,5,978,1,"Vacation",139,5,14.95,"Gold"
3,4,5,4,5,4,4,5,4,4,4,4,4,5,4,3,2,5,481,5,"Conference",131,5,11.56,"Silver"
5,4,5,5,5,3,4,5,4,5,4,4,3,5,5,3,5,3,750,3,"Conference",152.333333333333,10,9.96666666666667,"Gold"
5,5,6,2,1,2,1,4,5,4,3,4,4,4,4,4,4,4,741,2,"OtherOrMixed",144,39.29,11.45,"NoStatus"
4,3,3,3,3,4,2,4,4,5,5,4,3,2,6,4,3,4,801,3,"Vacation",169,32.61,4.3,"Silver"
5,5,3,5,5,4,3,6,4,6,4,7,5,4,3,5,5,5,172,5,"SportsEvent",137,25.63,5.57,"NoStatus"
5,5,4,4,4,4,3,4,4,4,2,5,4,3,3,3,4,3,285,4,"OtherOrMixed",139,17.64,8.725,"Silver"
3,5,3,3,2,4,3,4,2,2,3,4,3,4,4,4,3,2,440,2,"Vacation",149,35.41,3.975,"Silver"
4,5,5,4,3,3,3,4,5,4,5,5,4,5,5,5,2,4,985,4,"Business",149,17.95,4.4625,"Silver"
5,5,4,4,5,7,4,4,5,6,6,4,5,5,5,4,4,4,803,2,"OtherOrMixed",174,20.1,9.975,"Silver"
5,4,3,6,5,3,5,7,5,4,6,6,4,5,4,5,5,6,305,2,"OtherOrMixed",149,48.55,13.95,"Gold"
2,4,5,4,4,5,5,4,2,4,2,3,4,5,7,3,3,4,152,4,"SportsEvent",174,15.92,10.7125,"Gold"
5,4,5,6,4,6,5,3,3,3,3,3,4,6,6,5,3,6,717,8,"SportsEvent",159,25.81,6.4625,"Gold"
4,4,4,4,3,4,5,5,6,2,6,4,2,4,3,4,3,4,1367,6,"Business",154,42.63,10.6333333333333,"Gold"
5,5,4,4,3,3,4,3,4,4,4,5,4,4,4,4,3,3,269,3,"Vacation",145.666666666667,5,5.96666666666667,"NoStatus"
5,5,3,4,4,5,4,5,2,3,2,4,4,2,4,3,3,5,599,5,"Business",151,34.81,7.56,"Silver"
4,4,5,5,3,4,4,5,4,3,3,3,3,4,3,6,6,4,598,2,"Business",159,5,4.975,"Platinum"
3,5,5,2,4,3,2,4,5,5,5,6,3,3,4,4,4,4,141,3,"OtherOrMixed",142.333333333333,37.85,14.2833333333333,"NoStatus"
5,4,3,2,3,3,3,4,4,3,2,3,2,3,3,4,4,3,1347,2,"Concert",134,10,7.475,"NoStatus"
5,5,4,5,3,4,3,6,5,5,5,4,4,4,4,6,6,6,433,4,"Conference",151.5,38.89,4.475,"Gold"
3,4,2,5,4,5,2,5,3,5,6,6,6,5,5,5,6,3,664,1,"OtherOrMixed",149,10,0,"NoStatus"
4,3,4,3,3,4,5,4,3,4,3,4,4,5,3,4,4,4,1086,7,"Business",160.428571428571,22.69,8.97857142857143,"NoStatus"
2,4,4,3,4,4,3,2,3,3,2,3,2,3,3,3,3,4,226,2,"SportsEvent",134,5.2,12.95,"NoStatus"
4,4,4,4,4,4,4,4,2,4,3,4,4,4,4,4,5,4,310,1,"Business",149,76.31,7.95,"NoStatus"
3,3,3,2,3,7,4,3,3,3,3,3,2,4,4,4,1,1,318,5,"SportsEvent",161,20.23,9.77,"NoStatus"
1,3,4,3,4,3,3,1,3,3,3,4,5,4,4,1,2,4,260,7,"SportsEvent",164.714285714286,9.51,10.9642857142857,"NoStatus"
3,4,2,4,4,4,2,5,6,5,4,4,4,7,3,5,5,3,224,7,"Concert",164.714285714286,24.55,7.84285714285714,"Gold"
5,4,4,3,4,5,4,2,2,4,2,4,4,5,5,1,2,3,669,2,"SportsEvent",144,10,8.975,"NoStatus"
4,5,4,4,3,4,5,2,4,3,5,2,3,4,3,3,2,4,1168,4,"OtherOrMixed",154,52.02,9.475,"NoStatus"
6,5,3,4,6,6,4,4,5,3,5,5,4,3,4,4,3,3,151,2,"SportsEvent",169,0,4.975,"Gold"
3,3,4,2,3,4,1,3,4,3,5,4,3,3,4,4,4,3,714,3,"SportsEvent",162.333333333333,12.38,7.61666666666667,"NoStatus"
5,3,5,3,3,4,5,5,5,4,3,3,2,2,3,4,5,1,1184,1,"SportsEvent",169,10,12.95,"Silver"
4,4,5,3,3,4,4,3,3,3,3,3,3,2,4,3,2,2,1599,6,"Vacation",167.333333333333,55.58,11.4583333333333,"NoStatus"
2,3,3,4,4,4,3,5,3,5,4,5,6,6,6,3,4,4,644,2,"Concert",164,5,8.975,"NoStatus"
7,6,4,5,4,4,4,5,5,3,5,4,4,6,5,4,3,4,1195,1,"SportsEvent",149,10,5,"Gold"
4,4,4,3,2,5,5,5,3,3,6,2,4,3,3,4,4,4,1299,2,"Business",154,5,0,"Gold"
4,4,5,4,4,6,4,4,3,2,3,4,3,5,4,3,3,3,3775,2,"SportsEvent",144,5,0,"NoStatus"
4,5,5,5,4,3,3,5,3,3,5,3,4,4,5,6,5,5,268,4,"Business",149,27.75,8.95,"Silver"
4,3,4,3,4,3,3,4,4,4,4,4,3,4,5,3,4,3,957,2,"Vacation",159,60.58,8.975,"Silver"
5,5,4,5,4,4,5,6,3,3,4,6,5,6,6,5,5,5,255,3,"OtherOrMixed",135.666666666667,5,5.96666666666667,"NoStatus"
2,3,3,1,4,2,5,5,4,3,4,3,3,2,4,3,3,1,436,4,"SportsEvent",174,10,5.7125,"NoStatus"
3,3,3,1,2,4,3,1,3,3,3,2,3,4,3,1,2,1,297,2,"SportsEvent",169,50.52,0,"NoStatus"
3,2,4,3,3,5,4,4,1,3,4,3,4,3,4,4,4,4,530,4,"Concert",149,42.45,5.9625,"NoStatus"
3,3,3,1,2,4,3,4,4,3,3,3,2,3,2,4,4,2,960,6,"Concert",165.666666666667,31.72,7.475,"Silver"
5,6,3,5,5,5,3,6,4,3,6,5,4,5,5,5,6,3,143,4,"OtherOrMixed",151.5,8.51,1.2375,"Silver"
